Country Name,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
Afghanistan,AFG,,,,,,,,,,,,,30.555,7.218
United Arab Emirates,ARE,,,,,,,,,,,,,,
Argentina,ARG,27.298,22.197,16.21,58.446,443.966,100.764,626.719,342.955,24.9,0.156,-0.936,4.416,8.584,10.03
Armenia,ARM,,,,,,,,,,18.681,-0.791,6.961,8.95,2.555
Australia,AUS,3.793,2.361,2.653,5.865,13.524,10.127,3.95,7.232,0.986,2.612,4.475,2.344,4.353,1.763
Austria,AUT,1.946,3.869,2.773,6.362,7.319,6.325,5.665,1.931,4.03,1.844,2.395,2.061,3.216,2.486
Azerbaijan,AZE,,,,,,,,,-10.63,19.795,1.805,6.709,20.792,1.014
Burundi,BDI,,,6.057,3.829,6.857,2.499,14.317,4.487,1.823,26.437,24.318,7.852,24.107,18.013
Belgium,BEL,0.31,4.176,2.703,5.448,9.159,6.651,6.348,1.162,2.43,2.059,2.545,2.092,4.489,2.84
Bulgaria,BGR,,,,,,,,2.37,91.298,121.608,10.316,6.346,12.349,2.955
Belarus,BLR,,,,,,,,,,52.712,168.62,18.108,14.838,59.22
Bermuda,BMU,,,,,,,,,,,,,,
Brazil,BRA,,,,,,,192.122,629.115,951.648,15.757,7.045,6.599,5.663,5.402
Barbados,BRB,,,7.489,11.877,4.987,14.431,4.686,4.859,6.094,2.386,2.436,1.394,8.108,4.533
Canada,CAN,1.312,1.792,4.086,4.775,7.508,10.183,4.339,4.023,1.506,1.571,2.719,1.857,2.37,1.516
Switzerland,CHE,1.439,3.081,2.412,6.66,1.716,4.022,2.911,1.884,4.041,0.819,1.543,0.803,2.427,-0.693
Chile,CHL,11.564,45.98,26.631,77.805,211.924,35.138,19.86,14.684,15.426,7.359,3.843,1.055,8.716,3.007
China,CHN,,,,,,,,18.736,6.34,8.324,0.255,3.884,5.864,2.625
Cote d'Ivoire,CIV,,0.618,5.35,0.31,12.077,14.701,4.285,6.931,4.231,2.481,2.531,1.458,6.309,1.305
Cameroon,CMR,,,,8.093,9.931,9.552,11.373,1.682,-0.016,3.924,1.227,0.234,5.338,2.943
Colombia,COL,5.814,17.072,7.448,13.64,20.117,26.534,16.155,28.109,27.023,20.798,9.221,5.905,6.997,3.177
Costa Rica,CRI,0.79,3.324,4.094,4.601,3.486,18.126,11.951,20.826,21.788,17.522,10.993,12.315,13.423,4.504
Cuba,CUB,,,,,,,,,,,,,,
Czech Republic,CZE,,,,,,,,,,8.8,3.903,2.827,6.351,3.299
Germany,DEU,,,,,,,,,5.077,1.446,1.471,1.666,2.628,2.008
Djibouti,DJI,,,,,,12.058,1.885,,,,,3.122,11.959,3.731
Denmark,DNK,1.255,3.093,7.954,6.562,9,12.305,6.322,4.55,2.102,2.111,2.925,1.16,3.399,2.398
Dominican Republic,DOM,-3.562,2.107,0.036,8.641,7.766,16.753,20.152,43.864,4.259,5.399,7.724,51.461,10.645,3.695
Algeria,DZA,,,,3.656,9.431,9.518,8.116,5.912,31.67,18.679,0.339,3.962,4.863,8.895
Ecuador,ECU,1.677,4.034,4.318,7.882,10.671,13.049,31.23,58.216,54.341,24.373,96.094,2.742,8.401,5.101
Eritrea,ERI,,,,,,,,,,,,,,
Spain,ESP,1.209,6.95,4.963,8.289,17.629,15.55,11.274,4.84,5.926,3.559,3.433,3.037,4.076,2.446
Estonia,EST,,,,,,,,,,23.05,4.02,3.048,10.366,3.935
Ethiopia,ETH,,,0.183,-6.082,28.538,4.483,8.417,7.081,10.527,-8.484,0.662,3.256,44.391,22.77
Finland,FIN,3.235,10.357,9.192,7.14,14.343,11.595,7.068,5.096,2.602,0.617,3.368,0.187,4.066,2.808
France,FRA,4.139,3.229,4.552,6.063,9.625,13.539,7.674,2.701,2.366,2.005,1.699,2.135,2.814,1.956
United Kingdom,GBR,,,,,,,,,4.262,2.481,0.785,1.345,3.613,2.822
Georgia,GEO,,,,,,,,,,39.357,4.064,5.656,9.999,-0.944
Ghana,GHA,,,7.895,10.067,56.081,50.07,39.665,31.359,10.056,46.561,25.193,12.625,16.522,9.161
Greece,GRC,1.589,0.881,0.33,4.292,13.312,24.875,18.449,13.527,15.866,8.196,3.166,2.899,4.153,1.502
Guyana,GUY,,,,,,,,,,7.095,6.149,4.668,8.1,2.392
Croatia,HRV,,,,,,,,,,4.342,4.611,2.055,6.077,3.412
Haiti,HTI,-5.03,9.162,1.316,3.19,7.038,17.778,6.402,4.105,19.358,20.584,13.708,22.812,15.52,6.28
Hungary,HUN,,,,,5.228,9.286,8.651,15.788,22.95,23.428,9.781,6.78,6.066,5.668
Indonesia,IDN,39.59,108.995,128.843,6.513,19.859,18.017,10.456,8.043,7.526,7.968,3.72,6.244,9.777,4.28
India,IND,1.783,13.354,2.996,6.462,-7.634,11.365,8.322,9.385,11.788,8.977,4.009,3.767,8.352,9.312
Ireland,IRL,0.451,6.717,4.681,8.606,17.986,18.223,8.583,2.16,3.12,1.693,5.565,2.195,4.054,1.693
Iraq,IRQ,3.478,-0.09,2.196,5.186,12.823,,,,83.616,-16.117,4.979,26.962,12.663,6.089
Iceland,ISL,4.315,19.331,12.634,9.709,32.782,58.546,29.179,25.751,3.959,2.297,5.119,3.151,12.678,5.195
Israel,ISR,2.228,5.173,2.079,12.881,31.311,131.025,373.821,16.231,11.948,11.277,1.125,-0.414,4.597,1.708
Italy,ITA,1.37,5.882,2,5.217,16.578,21.277,10.845,5.113,5.08,3.975,2.519,2.215,3.375,3.041
Jamaica,JAM,3.274,2.013,5.929,5.428,9.794,27.308,27.815,8.267,77.297,26.407,8.171,13.626,22.021,6.898
Japan,JPN,3.594,3.838,5.37,4.844,9.391,7.812,2.292,0.664,1.707,0.132,-0.653,-0.008,1.373,-0.033
Kazakhstan,KAZ,,,,,,,,,,39.183,13.181,6.882,17.152,5.114
