Country Name,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
Afghanistan,AFG,537777811.911,800000045.511,1373333367.467,1595555475.911,2555555566.933,3641723447.184,,,,,,5285461999.337,10190529882.488,20536542736.73
United Arab Emirates,ARE,,,,,19213022856.062,43598747466.602,41807954192.458,36275674165.519,54239171887.769,73571233996.186,104337372362.151,147824370319.946,315474615738.598,373429543907.42
Argentina,ARG,,25605249376.736,26436856814.286,34733000397.5,51169499978.685,76961923741.445,79092001998.022,126206817196.091,228788617201.696,272149750000,284203750000,164657930461.189,363137495039.856,548934618735.756
Armenia,ARM,,,,,,,,,1272577521.768,1596968913.192,1911563665.39,3576615240.416,11662040713.875,10619320048.586
Australia,AUS,18567588755.74,23754059805.129,32641953186.247,51928738317.757,104815328375.142,149654596100.279,193197790255.389,235771245634.459,325253403060.832,401335356600.91,414951956289.644,612695262483.995,1054557743957.03,1537477830480.51
Austria,AUT,6592693841.185,9169983885.712,12440625312.868,22006470861.361,42856485617.857,81861232822.804,67821568599.134,133018182770.534,194608183696.469,236720496490.772,196421706283.398,299857238639.185,427611527757.434,407373026611.605
Azerbaijan,AZE,,,,,,,,,4991350457.542,3176749593.118,5272617196.045,8680511918.494,48852482960.078,68730906313.646
Burundi,BDI,195999990,260750008,183200000,246804571.429,448412753.623,919726666.667,987143931.167,1082403219.488,1083037670.605,869033856.317,870486065.883,915257323.396,1611634331.649,2472384906.998
Belgium,BEL,11658722590.99,15960106680.673,21376353113.475,37408626615.342,71494607105.538,127508322941.095,83795759983.245,163168007789.358,236038607528.231,281357654723.127,237904919845.218,370885274397.815,518626043650.212,497815990388.023
Bulgaria,BGR,,,,,,20039627960.295,17411159923.239,23002458744.848,10350515463.918,10109404159.64,13148099185.23,26094622563.647,54666642734.276,53576670827.858
Belarus,BLR,,,,,,,,,17022180272.211,14756861538.462,12736856485.107,23141587717.763,60752177438.89,63615445566.848
Bermuda,BMU,84466654.08,107566650.638,150000000,235400000,386300000,613299968,985699968,1415100032,1679900032,2695390000,3480219000,4484703000,6109928000,5537537000
Brazil,BRA,15165569912.52,21211892259.99,33875881876.367,58539008786.368,152678020452.829,235024598983.261,209023912696.839,330397381998.489,400599250000,850425828275.793,655421153320.579,669316239316.239,1695824517395.57,2460658440428.04
Barbados,BRB,,,,,,1012280570.754,1346890012.854,1812757839.375,1957000000,2411872813.716,3121500000,3514500000,4595000000,4313000000
Canada,CAN,41093453544.91,48882938810.22,70759031841.724,113082820992.019,206575564401.623,273853826377.01,355372558103.621,507354351182.254,592387689252.916,628546387972.131,742293448252.643,1023196003074.56,1549131208997.19,1824288757447.57
Switzerland,CHE,9522746719.216,14480556571.548,18942729779.1,,,118710309542.281,106019113631.527,208774024533.588,271133679206.372,329619351051.78,271659728209.379,393541693928.428,551546962699.658,665408300271.743
Chile,CHL,4211737000.759,5794309263.236,7074820185.613,11532517864.128,9857547846.743,27572307600,19232737055.24,24640912615.812,44467946384.246,75769008174.255,79328640263.768,100630707851.787,179626674542.474,265231582123.496
China,CHN,59184116488.998,59062254890.187,69993497892.313,112159813640.376,151627687364.405,189649992463.987,258082147252.256,310722213686.031,424934065934.066,860844098049.121,1205260678391.96,1941745602165.09,4558431073438.2,8461623162714.07
Cote d'Ivoire,CIV,546203558.457,921063326.293,1281281277.981,1849400398.252,4662053819.629,10175617589.123,6841639250.219,10255169812.019,11152971316.074,12139234938.786,10717022462.686,16554441846.519,24224903099.628,27040562587.177
Cameroon,CMR,618740961.945,782384403.97,1053076992.001,1430951432.467,3076592633.83,6740757493.219,7801858400.994,12493286837.016,11396310990.22,9732328115.737,9287367235.258,15775357014.625,23322254113.562,26472056037.77
Colombia,COL,4040948304.744,5992169466.667,5918467519.182,8671371951.22,15341403660.47,33400712095.04,38253120737.967,39212545681.433,49279585355.095,97160111573.337,99886577575.544,117074865515.279,243982437870.84,369659700375.52
Costa Rica,CRI,507516613.03,542578815.243,773841494.34,1238251652.839,2412555511.815,4831447173.214,4593908761.576,6063759370.629,8573611050.189,11843228539.791,15946443103.28,18596365926.995,29837895769.059,45300669857.48
Cuba,CUB,,,,8135150888.772,13789579892.814,19912889808.333,24039383641.434,27458999535.62,22085858204.054,25017300000,30565200000,38202800000,60806300000,73139050000
Czech Republic,CZE,,,,,,,,,34451993226.035,66775046785.435,61474265134.536,118976023159.713,235204812643.146,206441578342.485
Germany,DEU,,,,298667219346.133,517787921003.573,946695355820.96,722367608343.069,1395931548502.06,2123130870381.97,2503665193657.4,1949953934033.54,2819245095604.67,3752365607148.09,3539615377794.51
Djibouti,DJI,,,,,,,,395794554.127,478058304.871,494004647.734,551230861.857,666072101.778,999105339.268,1353632941.521
Denmark,DNK,6248946880.278,9506678762.778,13196541952,22966364108.615,44401699735.318,70867465285.048,58673426983.759,115111916809.032,152690732178.062,187632400365.599,164158800460.219,251242843551.268,352591553716.09,325012162409.979
Dominican Republic,DOM,672399700,1025599900,1079100000,1987300000,3951399900,6631000100,10330399700,5374300243.255,11277676879.961,18131813000.628,23996100575.49,22039210346.13,48152993004.287,60595109805.051
Algeria,DZA,2723637614.732,2909340109.861,3852147120.947,6761786485.494,17728348385.244,42345276289.678,53698280328.201,59089065518.222,48003298223.118,46941496779.85,54790060512.889,85324998959.302,171000692134.748,209047389599.67
Ecuador,ECU,1010325138.03,1156150890.061,2582180794.186,3185987234.841,9091924304.835,17881514682.878,16912515183.278,13051886552.338,18094238119.06,25226393196.598,18327764882.441,36591661000,61762635000,87924544000
Eritrea,ERI,,,,,,,,,477101651.648,693535954.19,706370815.584,1109054005.44,1380188800,
Spain,ESP,12072126075.397,21343844643.734,31475548481.41,58971806626.974,118185307386.222,232134606637.271,171635463361.623,375138723325.239,629202392003.901,640998292394.588,595402616546.895,1069555500372.49,1634989014208.29,1339946773437.24
Estonia,EST,,,,,,,,,,4746104825.075,5685773518.843,12059204968.944,24194038377.032,23135266649.132
Ethiopia,ETH,,,,,,,8096302368.779,10908935748.792,10492993077.609,8547939730.624,8242392103.681,10131187261.442,27066912635.223,43310721414.083
Finland,FIN,5224102195.528,7766655085.786,8823033880.33,14754136507.026,31873171718.726,53685049410.265,52926394934.705,109103056147.832,112625431377.754,132099404607.818,125539893126.958,196768065557.487,283742493042.332,256706466091.089
France,FRA,62651474946.601,94906593388.311,129847107787.883,204283485045.514,373410270417.919,703525302701.025,532648802822.187,1023504019381.13,1408724907063.2,1614245416078.98,1368438363736.87,2124112242364.04,2923465651091.26,2681416108537.39
United Kingdom,GBR,72328047042.159,93387598813.927,104702736248.084,169965034965.035,232614555256.065,564947710899.373,461487097632.349,910122732123.799,1179659529659.53,1306575663026.52,1554801028899.98,2297889051629.44,2793376838235.29,2630472981169.65
Georgia,GEO,,,,,,,,,3690328963.641,3094915505.909,3057453482.558,5125273880.75,12795044472.766,15846474595.773
Ghana,GHA,1217230094.972,1731296199.523,1666909517.652,2112293279.985,2765254360.206,4445228057.454,4412279865.403,5197840972.686,6413901601.831,6934984709.48,4983024408.148,8881368538.077,28526891010.492,41939728978.728
Greece,GRC,4446528164.676,6680298250.58,9915140546.351,16885506818.182,31152840485.075,56829663469.225,48020024788.392,76261278404.996,116224673042.546,145861612825.595,130133845771.144,240521260988.329,354460802548.704,245670666639.047
Guyana,GUY,170216238.857,194774510.468,229750000,285380965.341,454440000,603200000,437631610.755,413799990,368281378.897,705406001.425,712667896.728,785918769.588,1922598121.231,2851154075.954
Croatia,HRV,,,,,,,,,,23678012697.361,21774273832.103,41574530815.505,70481451814.312,56485301967.42
Haiti,HTI,,,,,,,,,2257121668.194,2907452192.775,3953846310.661,3537720277.5,6548530572.353,7890216507.689
Hungary,HUN,,,,,,,,,38541488005.186,46484876515.509,47169872903.46,103641111184.547,157094861350.053,127176184359.093
Indonesia,IDN,,,7467363478.726,11605084559.759,39328674729.639,78013206037.493,87612439197.264,88787623309.683,139116270052.14,227369671349.161,165021012261.411,256836883304.41,510228634992.258,917869913364.916
India,IND,37679274491.274,57470781032.781,54016411986.667,72716595884.312,104518118776.804,189594121351.874,215878233650.679,301790951204.236,293262722482.422,399787263892.645,476609148165.173,721584805204.777,1224097069459.66,1824960308640.71
Ireland,IRL,1939329775.437,2766608945.874,3278584478.33,6325159323.367,9464377441.268,21772289367.212,20129238176.541,37815334013.197,55981360980.839,75850514112.903,99833960199.005,193911407996.027,274713996338.069,224652132155.012
Iraq,IRQ,1684121534.584,2340521142.537,2896947633.716,4113848002.403,17754825601.084,53405689129.699,46802508845.288,62503055644.902,,,,36627901762.063,131613661510.475,218000986222.639
Iceland,ISL,248434096.969,434267936.915,474399471.622,846506911.398,1683117417.797,3409023699.35,2887825523.685,6156487920.212,7138787995.322,7501950115.789,8924735422.815,13704440838.447,17530651669.909,14194519025.264
Israel,ISR,2887222178.452,3405333501.95,3959154191.748,7173788440.843,12475947718.114,21780968646.119,26042766976.623,43892480124.049,65771216420.642,109774101575.963,132396684080.151,135418563141.455,216760312151.616,259613579190.332
Italy,ITA,40385288344.191,63175417019.009,87942231678.35,144780888114.21,223976031867.876,475682508026.227,436443282455.367,888667916542.696,1315806990573.45,1308929305684.53,1141760021927.4,1798314755525.2,2390729210487.77,2072823111961.1
Jamaica,JAM,699064351.699,897948963.987,1083839095.574,1875146615.313,2966042913.108,2679379382.873,2373564490.419,3828342819.753,3530892749.021,6504445801.342,8929375580.316,10150978154.548,13678551837.63,14746420946.174
Japan,JPN,44307342950.4,81749006381.511,146601072685.511,312738030290.016,576405865272.759,1086988088501.05,1294608503864.69,3015393553892.77,3852794371594.29,4706187126019.61,4731198760271.14,4655803055650.55,4849184641953.57,5957250118648.75
Kazakhstan,KAZ,,,,,,,,,24906939560.11,21035357832.802,18291990619.137,43151647002.61,133441612246.798,215902443457.121
Kenya,KEN,791265458.813,998759333.637,1353295457.518,2107279157.383,3474542392.046,7265315331.623,6191437070.435,8355380879.13,8209129171.736,12045858436.24,12705357103.006,16095337093.837,35895153327.85,50410164013.553
Kuwait,KWT,,,2662798825.508,4450537865.644,13132252412.668,28638869323.122,21700083292.008,20690321283.37,19858555214.724,31493987641.951,37711864406.78,59440108585.002,147395833333.333,174070025008.932
Lebanon,LBN,,,,,,,,3313539978.976,5545921947.466,13690217333.27,17260364842.454,20955223880.597,28829850746.269,43205095854.063
Sri Lanka,LKA,1409873949.58,1309747899.16,1801344537.815,2553936348.409,3591319857.313,4024621899.577,6043474842.767,6978371581.264,9703011635.866,13905482178.397,16330814179.977,20662525941.299,40713812309.732,68434399083.41
Lithuania,LTU,,,,,,,,,,8385109020.285,11539211480.362,22649930576.254,47850551148.836,42852204396.452
