Country Name,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
Afghanistan,AFG,8994793,9728645,10599790,11716896,12831361,13211412,11912510,11375768,13745630,17481800,19701940,23499850,26528741,29726803
United Arab Emirates,ARE,92612,138220,185312,324069,622051,1016789,1280278,1613904,2019014,2467726,3050128,3975945,6900142,8952542
Argentina,ARG,20619075,21953926,23261273,24782950,26477153,28105889,29920907,31795515,33655149,35419683,37057453,38728778,40381860,42095224
Armenia,ARM,1867396,2138133,2394635,2643464,2882831,3096298,3287588,3510439,3449497,3173425,3076098,3025982,2975029,2978339
Australia,AUS,10276477,11167000,12009000,13177000,14033000,14692000,15544000,16532200,17495000,18311000,19153000,20127400,21249200,22728254
Austria,AUT,7047539,7223801,7415403,7544201,7565525,7549433,7561434,7585317,7840709,7959017,8011566,8171966,8321496,8429991
Azerbaijan,AZE,3897889,4445653,4950977,5393176,5789050,6163990,6568857,6994139,7382000,7763000,8048600,8306500,8763400,9295784
Burundi,BDI,2786740,3011957,3317315,3547335,3744696,4126544,4624617,5284173,5895131,6333415,6767073,7661613,8821795,10124572
Belgium,BEL,9153489,9378113,9618756,9711115,9818227,9859242,9855372,9901664,10045158,10156637,10251250,10421137,10709973,11128246
Bulgaria,BGR,7867374,8144340,8369603,8576200,8758599,8861535,8960679,8981446,8540164,8362826,8170172,7781161,7492561,7305888
Belarus,BLR,8198000,8524224,8874552,9188968,9411000,9643000,9910000,10140000,10216000,10160000,10005000,9730000,9528000,9464000
Bermuda,BMU,44400,48900,53000,54200,53200,54670,56423,58347,58595,60129,61833,63740,65273,64798
Brazil,BRA,72493585,81751802,91213009,100844391,111076063,122199721,133950551,145150468,155379009,165303155,175786441,186116363,194769696,202401584
Barbados,BRB,230934,234547,237199,241441,247444,252197,255195,258524,262184,265940,269838,273091,277315,281580
Canada,CAN,17909009,19325000,20744000,21993631,23518000,24593000,25702000,26895000,28519597,29671900,30769700,31995000,33245773,34751476
Switzerland,CHE,5327827,5789228,6067714,6260956,6302504,6319408,6441865,6593386,6875364,7071850,7184250,7389625,7647675,7996861
Chile,CHL,7695692,8423614,9187592,9916558,10584237,11234340,11921407,12716508,13566942,14396020,15170387,15913119,16645940,17388437
China,CHN,667070000,698355000,774510000,862030000,930685000,981235000,1036825000,1101630000,1164970000,1217550000,1262645000,1296075000,1324655000,1350695000
Cote d'Ivoire,CIV,3474724,4049675,4794399,5747633,6916302,8265549,9769105,11337122,13046907,14852193,16517948,17802516,19261647,21102641
Cameroon,CMR,5361367,5850454,6437157,7134374,7959500,8932121,10070779,11370394,12796739,14317191,15927713,17667576,19570418,21659488
Colombia,COL,16480384,18581972,20905061,23146803,25323412,27737905,30350082,32975533,35558683,38049040,40403959,42724157,44901660,46881018
Costa Rica,CRI,1333042,1537035,1746870,1947048,2151492,2389309,2659772,2944560,3257463,3596733,3925450,4187039,4429506,4654148
Cuba,CUB,7141129,7787149,8413329,9025299,9544268,9835177,10017061,10379080,10735775,10955372,11116787,11240680,11290239,11342631
Czech Republic,CZE,9602006,9727804,9876346,9867632,10125939,10304193,10330213,10355276,10319123,10315241,10255063,10197101,10384603,10510785
Germany,DEU,72814900,75318337,77294314,78688452,78336950,78288576,77858685,78144619,80624598,81914831,82211508,82516260,82110097,80425823
Djibouti,DJI,83636,107584,140461,179212,248619,358960,404589,523266,627063,673202,722562,767644,809639,853069
Denmark,DNK,4579603,4722072,4864883,4991596,5072596,5123027,5111619,5129516,5171370,5263074,5339616,5404523,5493621,5591572
Dominican Republic,DOM,3294039,3757962,4250026,4759935,5280727,5809271,6351572,6903314,7468551,8029114,8562623,9102997,9636491,10155036
Algeria,DZA,11124892,12295973,13744383,15377095,17190236,19337723,21893857,24591493,27180921,29411839,31183658,32817225,34811059,37439427
Ecuador,ECU,4545548,5099470,5730908,6428707,7179399,7976449,8823746,9739179,10705670,11683480,12628596,13509645,14447600,15419493
Eritrea,ERI,1407631,1550297,1713846,1905406,2128597,2383858,2675717,3020278,3160617,3202598,3535156,4064958,4500638,
Spain,ESP,30455000,31609195,33113134,34502705,35939437,37439035,38278575,38715849,39067745,39478186,40263216,42921895,45954106,46773055
Estonia,EST,1211537,1277086,1331214,1392518,1439576,1477219,1518617,1561900,1533091,1415594,1396985,1362550,1337090,1322696
Ethiopia,ETH,22151218,24396965,26945459,30135007,33144537,35239974,39493503,44908705,51602776,59076414,66443603,74506974,83079608,92191211
Finland,FIN,4429634,4548543,4626469,4639657,4725664,4779535,4881803,4946481,5041992,5124573,5176209,5228172,5313399,5413971
France,FRA,46814237,49449403,51276054,52959228,54541493,55340782,56470769,57836486,58851216,59753098,60912498,62704897,64374990,65659790
United Kingdom,GBR,52400000,54000000,55211700,56086065,56211968,56314216,56422072,56928327,57580402,58166950,58892514,59987905,61806995,63700300
Georgia,GEO,3645600,3870300,4042300,4205300,4342400,4467700,4622200,4790700,4873500,4616100,4418300,4245000,4030000,3825000
Ghana,GHA,6652285,7513286,8221021,9083575,10023471,10802025,12311166,13852597,15471527,17169214,18824994,20840493,23115919,25544565
Greece,GRC,8331725,8510429,8740765,8888628,9188150,9642505,9895801,10036983,10399061,10608800,10805808,10955141,11077841,11045011
Guyana,GUY,564222,635778,680068,712188,751008,786614,773302,734872,717621,730193,742218,742162,748096,758410
Croatia,HRV,4140000,4259680,4364000,4457000,4530000,4588000,4680000,4757000,4470000,4494000,4426000,4439000,4434508,4267558
Haiti,HTI,3866160,4186636,4534233,4876558,5238242,5688832,6240330,6813344,7386974,7965548,8549202,9119182,9705130,10288828
Hungary,HUN,9983967,10119835,10255815,10398489,10598677,10711122,10668095,10596487,10369341,10311238,10210971,10107146,10038188,9920362
Indonesia,IDN,87792512,97638027,108821565,121059511,134010695,147490366,161555584,175000919,187762097,199926615,211540428,223268606,235360765,248037853
India,IND,449661874,487690114,530274729,579800632,636182810,697229745,764664278,834944397,906461358,979290432,1053481072,1126419321,1197070109,1263589639
Ireland,IRL,2828600,2866550,2915550,3036850,3238050,3412800,3532423,3524949,3558430,3637510,3805174,4070262,4489544,4586897
Iraq,IRQ,7289759,8122200,9260685,10599846,12068195,13653358,15204746,16657708,18468521,20855408,23574751,26320530,29163327,32957622
Iceland,ISL,175574,188983,201488,209137,220154,228138,239511,249740,261057,268916,281205,292074,317414,320716
Israel,ISR,2114020,2475000,2803000,3148000,3533000,3878000,4159000,4442000,5123000,5692000,6289000,6809000,7308800,7910500
Italy,ITA,50199700,51675350,53235750,54381345,55718260,56433883,56576718,56629288,56797087,56860281,56942108,57685327,58826731,59539717
Jamaica,JAM,1629003,1734763,1823706,1925162,2037716,2133000,2279900,2356400,2423044,2509923,2589389,2634145,2671934,2707805
Japan,JPN,92500572,97826000,101061000,107188000,112771000,116782000,120018000,122613000,124229000,125757000,126843000,127761000,128063000,127561489
Kazakhstan,KAZ,9714260,11267329,12341412,13176584,13920105,14518924,15214051,15982510,16439095,15577894,14883626,15012985,15674000,16791425
Kenya,KEN,8105440,9200158,10502250,12083165,13995974,16267906,18942599,21899004,25029754,28116027,31065820,34437460,38244442,42542978
Kuwait,KWT,261962,431366,639170,866747,1115463,1384342,1657920,2002645,,1637906,1929470,2166344,2705290,3419581
Lebanon,LBN,1804927,2041212,2210965,2416743,2598362,2605294,2667229,2668593,2821868,3070974,3235380,3863271,4109389,4924257
