"AID","NAME","DOB","GENDER"
472,"NIELSEN, Anders Peter",,"Men"
473,"PAUMIER DU VERGIER, Charles",,"Men"
474,"MADSEN, Lars Jörgen",,"Men"
475,"CAVADINI, Auguste",,"Men"
476,"THOMAS, René",,"Men"
477,"BÖCKLI, Franz",,"Men"
478,"GRÜTER, Alfred",,"Men"
479,"FRYDENLUND, Olaf Emil",,"Men"
480,"HERMANDSEN, Hellmer",,"Men"
481,"SAETHER, Ole Andreas",,"Men"
482,"SEEBERG, Tom",,"Men"
483,"DE CLARY, Justinien",,"Men"
484,"DE BARBARIN, Roger",,"Men"
485,"GUYOT, René",,"Men"
486,"DE LA CHAPELLE, Georges",,"Men"
487,"MAHONY, Harold Sergerson",,"Men"
488,"NORRIS, Arthur B.J.",,"Men"
489,"PREVOST, André",,"Men"
490,"DOHERTY, Hugh Lawrence",,"Men"
491,"DOHERTY, Reginald Frank",,"Men"
492,"DE GARMENDIA, Basil Spalding",,"Men"
493,"DECUGIS, Max",,"Men"
494,"WARDEN, Archibald A.",,"Men"
495,"JONES, Marion",,"Women"
496,"ROSENBAUM, Hedwig",,"Women"
497,"COOPER, Charlotte",,"Women"
498,"PREVOST, Hélène",,"Women"
499,"AABYE, Edgar",,"Men"
500,"NILSSON, August",,"Men"
501,"SCHMIDT, Eugen",,"Men"
502,"SÖDERSTRÖM, Gustaf",,"Men"
503,"STAAF, Karl Gustav",,"Men"
504,"WINCKLER, Charles",,"Men"
505,"BASSET, Pierre",,"Men"
506,"ROFFO, Joseph",,"Men"
507,"BRAUNSCHWEIGER, Alfred",,"Men"
508,"KEHOE, Frank",,"Men"
509,"SHELDON, George",,"Men"
510,"HOFFMANN, Georg",,"Men"
511,"GOODWIN, Leo Budd",,"Men"
512,"DICKEY, William Paul",,"Men"
513,"ADAMS, Edgar H.",,"Men"
514,"ZACHARIAS, Georg",,"Men"
515,"BRACK, Walter",,"Men"
516,"LEARY, J. Scott",,"Men"
517,"DANIELS, Charles",,"Men"
518,"GAILEY, Francis",,"Men"
519,"RAUSCH, Emil",,"Men"
520,"KISS, Geza",,"Men"
521,"HANDY, Hehry Jamison",,"Men"
522,"EVANS, Gwynne",,"Men"
523,"ORTHWEIN, William Robert",,"Men"
524,"REYBURN, Amadee",,"Men"
525,"SCHWARTZ, Marquard",,"Men"
526,"HANDLEY, Louis De Breda",,"Men"
527,"RUDDY, Joseph A.",,"Men"
528,"GOETZ, Hugo",,"Men"
529,"HAMMOND, David",,"Men"
530,"THORNE, Raymond",,"Men"
531,"TUTTLE, William",,"Men"
532,"THOMPSON, William Henry",,"Men"
533,"BRYANT, George Philipp",,"Men"
534,"WILLIAMS, Robert",,"Men"
535,"POLLOCK, Jessie",,"Women"
536,"HOWELL, Matilda Scott",,"Women"
537,"COOKE, Emma C.",,"Women"
538,"BRYANT, Wallace",,"Men"
539,"DALLIN, Cyrus Edwin",,"Men"
540,"RICHARDSON, Henry Barber",,"Men"
541,"MAXSON, Louis W.",,"Men"
542,"SPENCER, Galen Carter",,"Men"
543,"CLARK, William A.",,"Men"
544,"DUVALL, Samuel Harding",,"Men"
545,"HUBBARD, Charles R.",,"Men"
546,"WOODRUFF, Charles S.",,"Men"
547,"TAYLOR, Louise",,"Women"
548,"WOODRUFF, Laura",,"Women"
549,"TAYLOR, Mabel",,"Women"
550,"HOGENSON, William",,"Men"
551,"HAHN, Archie",,"Men"
552,"CARTMELL, John Nathaniel",,"Men"
553,"ASHBURNER, Lesley",,"Men"
554,"SCHULE, Frederick",,"Men"
555,"SHIDELER, Thaddeus",,"Men"
556,"HEARN, Lacey",,"Men"
557,"LIGHTBODY, James",,"Men"
558,"VERNER, William Frank",,"Men"
559,"POAGE, George",,"Men"
560,"HILLMAN, Harry",,"Men"
561,"CASTLEMAN, Frank",,"Men"
562,"NEWTON, Arthur",,"Men"
563,"DALY, John",,"Men"
564,"GROMAN, Herman",,"Men"
565,"WALLER, Frank",,"Men"
566,"MUNSON, David Curtis",,"Men"
567,"PILGRIM, Paul Harry",,"Men"
568,"UNDERWOOD, George",,"Men"
569,"VALENTINE, Howard",,"Men"
570,"CORAY, Albert",,"Men"
571,"HATCH, Sidney",,"Men"
572,"MITCHELL, James",,"Men"
573,"DESMARTEAU, Etienne",,"Men"
574,"MOULTON, Fay",,"Men"
575,"BREITKREUTZ, Emil",,"Men"
576,"KIELY, Thomas Francis",,"Men"
577,"GUNN, Adam",,"Men"
578,"GEORGANDAS, Nicolaos",,"Men"
579,"SHERIDAN, Martin",,"Men"
580,"ROSE, Ralph",,"Men"
581,"DEWITT, John",,"Men"
582,"WEINSTEIN, Paul",,"Men"
583,"JONES, Samuel",,"Men"
584,"SERVISS, Garrett",,"Men"
585,"ROBERTSON, Lawson N.",,"Men"
586,"STADLER, Joseph F.",,"Men"
587,"STANGLAND, Robert",,"Men"
588,"FRANK, Daniel",,"Men"
589,"BILLER, John",,"Men"
590,"KING, Charles",,"Men"
591,"HICKS, Thomas",,"Men"
592,"WILKINS, Louis",,"Men"
593,"DVORAK, Charles",,"Men"
594,"SAMSE, Leroy",,"Men"
595,"FEUERBACH, Lawrence E. Joseph",,"Men"
596,"COE, William Wesley",,"Men"
597,"MERZ, William",,"Men"
598,"EMMERICH, Max",,"Men"
599,"GRIEB, John",,"Men"
600,"ENGLEHARDT, Frederick",,"Men"
601,"FINNEGAN, George",,"Men"
602,"BURKE, Miles",,"Men"
603,"MICHAELS, William",,"Men"
604,"BERGER, Samuel",,"Men"
605,"MAYER, Charles",,"Men"
606,"KIRK, Oliver L.",,"Men"
607,"GILMORE, Frederick",,"Men"
608,"HALLER, Frank",,"Men"
609,"VAN HORN, Russell",,"Men"
610,"SPANGER, Harry J.",,"Men"
611,"EAGAN, James Jack",,"Men"
612,"LYDON, Joseph",,"Men"
613,"YOUNG, Albert",,"Men"
614,"SPRADLEY, Benjamin",,"Men"
615,"BILLINGTON, Edward",,"Men"
616,"HURLEY, Marcus",,"Men"
617,"DOWNING, Burton",,"Men"
618,"GOERKE, Oscar",,"Men"
619,"WILEY, George",,"Men"
620,"ANDREWS, Arthur F.",,"Men"
621,"SCHLEE, Charles",,"Men"
622,"VAN ZO POST, Albertson",,"Men"
623,"TATHAM, Charles",,"Men"
624,"DIAZ, Manuel",,"Men"
625,"FOX, Arthur",,"Men"
626,"TOWNSEND, Charles Fitzhugh",,"Men"
627,"GREBE, William",,"Men"
628,"O'CONNOR, William Scott",,"Men"
629,"BRADY, Joseph J.",,"Men"
630,"COOKE, George Edwin",,"Men"
631,"COOKE, Thomas J.",,"Men"
632,"COSTGROVE, Cormic F.",,"Men"
633,"DIERKES",,"Men"
634,"DOOLING, Martin T.",,"Men"
635,"FROST, Frank",,"Men"
636,"JAMESON, Claude Stanley",,"Men"
637,"JAMESON, Henry Wood",,"Men"
638,"JOHNSON, -",,"Men"
639,"O'CONNELL",,"Men"
640,"TATE, Harry",,"Men"
641,"BARTLIFF, Charles Albert",,"Men"
642,"BRITTINGHAM, Warren G.",,"Men"
643,"BROCKMEYER, Oscar B.",,"Men"
644,"CUDMORE, Alexander",,"Men"
645,"DUCKER, George",,"Men"
646,"FRASER, John Alexander",,"Men"
647,"GOURLEY, John",,"Men"
648,"HALL, Alexander",,"Men"
649,"JANUARY, Charles James",,"Men"
650,"JANUARY, John Hartnett",,"Men"
651,"JANUARY, Thomas Thurston",,"Men"
652,"JOHNSON, Albert",,"Men"
653,"LANE, Robert",,"Men"
654,"LAWLER, Raymond E.",,"Men"
655,"LINTON, Ernest",,"Men"
656,"MACDONALD, Gordon",,"Men"
657,"MENGES, Louis John",,"Men"
658,"RATICAN, Peter Joseph",,"Men"
659,"STEEP, Frederick",,"Men"
660,"TAYLOR, Thomas",,"Men"
661,"TWAITS, William",,"Men"
662,"MCKINNIE, Burt P.",,"Men"
663,"NEWTON, Francis Clement",,"Men"
664,"LYON, George Seymour",,"Men"
665,"EGAN, Henri Chandler",,"Men"
666,"CUMMINS, Edward M.",,"Men"
667,"EDWARDS, Kenneth Paine",,"Men"
668,"EGAN, Walter Eugene",,"Men"
669,"HUNTER, Robert Edward",,"Men"
670,"MOORE, Nathaniel Fish",,"Men"
671,"PHELPS, Mason Elliot",,"Men"
672,"SAWYER, Danieledward",,"Men"
673,"SMOOT, Clement E.",,"Men"
674,"WOOD, Warren K.",,"Men"
675,"CADY, John Deere",,"Men"
676,"LAMBERT, Albert Bond",,"Men"
677,"MAXWELL, John R.",,"Men"
678,"MCKITTRICK, Ralph",,"Men"
679,"POTTER, Henry",,"Men"
680,"SEMPLE, Frederick",,"Men"
