code,year,gdp,population,income,cpi
AFG,1960,537777811.911,8994793,0,0
AFG,1964,800000045.511,9728645,0,0
AFG,1968,1373333367.47,10599790,0,0
AFG,1972,1595555475.91,11716896,0,0
AFG,1976,2555555566.93,12831361,0,0
AFG,1980,3641723447.18,13211412,0,0
AFG,1984,0,11912510,0,0
AFG,1988,0,11375768,0,0
AFG,1992,0,13745630,0,0
AFG,1996,0,17481800,0,0
AFG,2000,0,19701940,0,0
AFG,2004,5285461999.34,23499850,0,0
AFG,2008,10190529882.5,26528741,7.989,30.555
AFG,2012,20536542736.7,29726803,9.888,7.218
ARE,1960,0,92612,0,0
ARE,1964,0,138220,0,0
ARE,1968,0,185312,0,0
ARE,1972,0,324069,0,0
ARE,1976,19213022856.1,622051,0,0
ARE,1980,43598747466.6,1016789,0,0
ARE,1984,41807954192.5,1280278,0,0
ARE,1988,36275674165.5,1613904,0,0
ARE,1992,54239171887.8,2019014,0,0
ARE,1996,73571233996.2,2467726,0,0
ARE,2000,104337372362,3050128,0,0
ARE,2004,147824370320,3975945,0,0
ARE,2008,315474615739,6900142,0,0
ARE,2012,373429543907,8952542,3.255,0
ARG,1960,0,20619075,0,27.298
ARG,1964,25605249376.7,21953926,0,22.197
ARG,1968,26436856814.3,23261273,0,16.21
ARG,1972,34733000397.5,24782950,0,58.446
ARG,1976,51169499978.7,26477153,0,443.966
ARG,1980,76961923741.4,28105889,0,100.764
ARG,1984,79092001998,29920907,0,626.719
ARG,1988,126206817196,31795515,0,342.955
ARG,1992,228788617202,33655149,0,24.9
ARG,1996,272149750000,35419683,0,0.156
ARG,2000,284203750000,37057453,0,-0.936
ARG,2004,164657930461,38728778,0,4.416
ARG,2008,363137495040,40381860,0,8.584
ARG,2012,548934618736,42095224,0,10.03
ARM,1960,0,1867396,0,0
ARM,1964,0,2138133,0,0
ARM,1968,0,2394635,0,0
ARM,1972,0,2643464,0,0
ARM,1976,0,2882831,0,0
ARM,1980,0,3096298,0,0
ARM,1984,0,3287588,0,0
ARM,1988,0,3510439,0,0
ARM,1992,1272577521.77,3449497,0,0
ARM,1996,1596968913.19,3173425,0,18.681
ARM,2000,1911563665.39,3076098,0,-0.791
ARM,2004,3576615240.42,3025982,18.198,6.961
ARM,2008,11662040713.9,2975029,22.86,8.95
ARM,2012,10619320048.6,2978339,22.598,2.555
AUS,1960,18567588755.7,10276477,0,3.793
AUS,1964,23754059805.1,11167000,0,2.361
AUS,1968,32641953186.2,12009000,0,2.653
AUS,1972,51928738317.8,13177000,20.443,5.865
AUS,1976,104815328375,14033000,22.631,13.524
AUS,1980,149654596100,14692000,22.752,10.127
AUS,1984,193197790255,15544000,23.612,3.95
AUS,1988,235771245634,16532200,25.664,7.232
AUS,1992,325253403061,17495000,22.723,0.986
AUS,1996,401335356601,18311000,0,2.612
AUS,2000,414951956290,19153000,25.96,4.475
AUS,2004,612695262484,20127400,26.602,2.344
AUS,2008,1054557743960,21249200,26.596,4.353
AUS,2012,1537477830480,22728254,23.656,1.763
AUT,1960,6592693841.19,7047539,0,1.946
AUT,1964,9169983885.71,7223801,0,3.869
AUT,1968,12440625312.9,7415403,0,2.773
AUT,1972,22006470861.4,7544201,27.808,6.362
AUT,1976,42856485617.9,7565525,29.343,7.319
AUT,1980,81861232822.8,7549433,32.482,6.325
AUT,1984,67821568599.1,7561434,33.438,5.665
AUT,1988,133018182771,7585317,33.688,1.931
AUT,1992,194608183696,7840709,34.881,4.03
AUT,1996,236720496491,7959017,43.69,1.844
AUT,2000,196421706283,8011566,43.305,2.395
AUT,2004,299857238639,8171966,43.473,2.061
AUT,2008,427611527757,8321496,43.565,3.216
AUT,2012,407373026612,8429991,43.947,2.486
AZE,1960,0,3897889,0,0
AZE,1964,0,4445653,0,0
AZE,1968,0,4950977,0,0
AZE,1972,0,5393176,0,0
AZE,1976,0,5789050,0,0
AZE,1980,0,6163990,0,0
AZE,1984,0,6568857,0,0
AZE,1988,0,6994139,0,0
AZE,1992,4991350457.54,7382000,0,-10.63
AZE,1996,3176749593.12,7763000,13.767,19.795
AZE,2000,5272617196.05,8048600,0,1.805
AZE,2004,8680511918.49,8306500,0,6.709
AZE,2008,48852482960.1,8763400,49.302,20.792
AZE,2012,68730906313.6,9295784,41.846,1.014
BDI,1960,195999990,2786740,0,0
BDI,1964,260750008,3011957,0,0
BDI,1968,183200000,3317315,0,6.057
BDI,1972,246804571.429,3547335,0,3.829
BDI,1976,448412753.623,3744696,0,6.857
BDI,1980,919726666.667,4126544,0,2.499
BDI,1984,987143931.167,4624617,0,14.317
BDI,1988,1082403219.49,5284173,0,4.487
BDI,1992,1083037670.61,5895131,18.098,1.823
BDI,1996,869033856.317,6333415,17.615,26.437
BDI,2000,870486065.883,6767073,0,24.318
BDI,2004,915257323.396,7661613,0,7.852
BDI,2008,1611634331.65,8821795,0,24.107
BDI,2012,2472384907,10124572,0,18.013
BEL,1960,11658722591,9153489,0,0.31
BEL,1964,15960106680.7,9378113,0,4.176
BEL,1968,21376353113.5,9618756,0,2.703
BEL,1972,37408626615.3,9711115,0,5.448
BEL,1976,71494607105.5,9818227,0,9.159
BEL,1980,127508322941,9859242,0,6.651
BEL,1984,83795759983.2,9855372,0,6.348
BEL,1988,163168007789,9901664,0,1.162
BEL,1992,236038607528,10045158,0,2.43
BEL,1996,281357654723,10156637,41.897,2.059
BEL,2000,237904919845,10251250,42.361,2.545
BEL,2004,370885274398,10421137,40.471,2.092
BEL,2008,518626043650,10709973,40.717,4.489
BEL,2012,497815990388,11128246,42.354,2.84
BGR,1960,0,7867374,0,0
BGR,1964,0,8144340,0,0
BGR,1968,0,8369603,0,0
BGR,1972,0,8576200,0,0
BGR,1976,0,8758599,0,0
BGR,1980,20039627960.3,8861535,0,0
BGR,1984,17411159923.2,8960679,0,0
