year,dname,eid,ename,Event_gender,record
1896,Swimming,1,100m freestyle,M,
1896,Swimming,1,100m freestyle,M,
1896,Swimming,3,100m freestyle for sailors,M,
1896,Swimming,3,100m freestyle for sailors,M,
1896,Swimming,3,100m freestyle for sailors,M,
1896,Swimming,6,1200m freestyle,M,
1896,Swimming,6,1200m freestyle,M,
1896,Swimming,6,1200m freestyle,M,
1896,Swimming,9,400m freestyle,M,
1896,Swimming,9,400m freestyle,M,
1896,Swimming,9,400m freestyle,M,
1896,Athletics,12,100m,M,
1896,Athletics,12,100m,M,
1896,Athletics,12,100m,M,
1896,Athletics,12,100m,M,
1896,Athletics,16,110m hurdles,M,
1896,Athletics,16,110m hurdles,M,
1896,Athletics,18,1500m,M,
1896,Athletics,18,1500m,M,
1896,Athletics,18,1500m,M,
1896,Athletics,21,400m,M,
1896,Athletics,21,400m,M,
1896,Athletics,21,400m,M,
1896,Athletics,24,800m,M,
1896,Athletics,24,800m,M,
1896,Athletics,24,800m,M,
1896,Athletics,27,discus throw,M,
1896,Athletics,27,discus throw,M,
1896,Athletics,27,discus throw,M,
1896,Athletics,30,high jump,M,
1896,Athletics,30,high jump,M,
1896,Athletics,30,high jump,M,
1896,Athletics,33,long jump,M,
1896,Athletics,33,long jump,M,
1896,Athletics,33,long jump,M,
1896,Athletics,36,marathon,M,
1896,Athletics,36,marathon,M,
1896,Athletics,36,marathon,M,
1896,Athletics,39,pole vault,M,
1896,Athletics,39,pole vault,M,
1896,Athletics,39,pole vault,M,
1896,Athletics,39,pole vault,M,
1896,Athletics,43,shot put,M,
1896,Athletics,43,shot put,M,
1896,Athletics,43,shot put,M,
1896,Athletics,46,triple jump,M,
1896,Athletics,46,triple jump,M,
1896,Athletics,46,triple jump,M,
1896,Cycling Road,49,individual road race,M,
1896,Cycling Road,49,individual road race,M,
1896,Cycling Road,49,individual road race,M,
1896,Cycling Track,52,100km,M,
1896,Cycling Track,52,100km,M,
1896,Cycling Track,54,10km,M,
1896,Cycling Track,54,10km,M,
1896,Cycling Track,54,10km,M,
1896,Cycling Track,57,12-hour race,M,
1896,Cycling Track,57,12-hour race,M,
1896,Cycling Track,59,1km time trial,M,
1896,Cycling Track,59,1km time trial,M,
1896,Cycling Track,59,1km time trial,M,
1896,Cycling Track,62,Sprint indivual,M,
1896,Cycling Track,62,Sprint indivual,M,
1896,Cycling Track,62,Sprint indivual,M,
1896,Fencing,65,foil individual,M,
1896,Fencing,65,foil individual,M,
1896,Fencing,65,foil individual,M,
1896,Fencing,68,"foil, masters",M,
1896,Fencing,68,"foil, masters",M,
1896,Fencing,70,sabre individual,M,
1896,Fencing,70,sabre individual,M,
1896,Fencing,70,sabre individual,M,
1896,Artistic G.,73,horizontal bar,M,
1896,Artistic G.,73,horizontal bar,M,
1896,Artistic G.,75,parallel bars,M,
1896,Artistic G.,75,parallel bars,M,
1896,Artistic G.,77,pommel horse,M,
1896,Artistic G.,77,pommel horse,M,
1896,Artistic G.,79,rings,M,
1896,Artistic G.,79,rings,M,
1896,Artistic G.,79,rings,M,
