year,aid,medal,eid,dname
1896,1,Gold,1,Swimming
1896,2,Silver,1,Swimming
1896,3,Bronze,3,Swimming
1896,4,Gold,3,Swimming
1896,5,Silver,3,Swimming
1896,6,Bronze,6,Swimming
1896,1,Gold,6,Swimming
1896,7,Silver,6,Swimming
1896,6,Bronze,9,Swimming
1896,8,Gold,9,Swimming
1896,9,Silver,9,Swimming
1896,10,Bronze,12,Athletics
1896,11,Bronze,12,Athletics
1896,12,Gold,12,Athletics
1896,13,Silver,12,Athletics
1896,14,Gold,16,Athletics
1896,15,Silver,16,Athletics
1896,16,Bronze,18,Athletics
1896,17,Gold,18,Athletics
1896,18,Silver,18,Athletics
1896,19,Bronze,21,Athletics
1896,12,Gold,21,Athletics
1896,20,Silver,21,Athletics
1896,21,Bronze,24,Athletics
1896,17,Gold,24,Athletics
1896,22,Silver,24,Athletics
1896,23,Bronze,27,Athletics
1896,24,Gold,27,Athletics
1896,25,Silver,27,Athletics
1896,26,Gold,30,Athletics
1896,27,Silver,30,Athletics
1896,24,Silver,30,Athletics
1896,27,Bronze,33,Athletics
1896,26,Gold,33,Athletics
1896,24,Silver,33,Athletics
1896,28,Bronze,36,Athletics
1896,29,Gold,36,Athletics
1896,30,Silver,36,Athletics
1896,31,Bronze,39,Athletics
1896,32,Bronze,39,Athletics
1896,33,Gold,39,Athletics
1896,34,Silver,39,Athletics
1896,35,Bronze,43,Athletics
1896,24,Gold,43,Athletics
1896,36,Silver,43,Athletics
1896,37,Bronze,46,Athletics
1896,27,Gold,46,Athletics
1896,38,Silver,46,Athletics
1896,39,Bronze,49,Cycling Road
1896,40,Gold,49,Cycling Road
1896,41,Silver,49,Cycling Road
1896,42,Gold,52,Cycling Track
1896,43,Silver,52,Cycling Track
1896,44,Bronze,54,Cycling Track
1896,45,Gold,54,Cycling Track
1896,42,Silver,54,Cycling Track
1896,44,Gold,57,Cycling Track
1896,46,Silver,57,Cycling Track
1896,44,Bronze,59,Cycling Track
1896,45,Gold,59,Cycling Track
1896,47,Silver,59,Cycling Track
1896,42,Bronze,62,Cycling Track
1896,45,Gold,62,Cycling Track
1896,47,Silver,62,Cycling Track
1896,48,Bronze,65,Fencing
1896,49,Gold,65,Fencing
1896,50,Silver,65,Fencing
1896,51,Gold,68,Fencing
1896,52,Silver,68,Fencing
1896,53,Bronze,70,Fencing
1896,54,Gold,70,Fencing
1896,55,Silver,70,Fencing
1896,56,Gold,73,Artistic G.
1896,57,Silver,73,Artistic G.
1896,57,Gold,75,Artistic G.
1896,58,Silver,75,Artistic G.
1896,58,Gold,77,Artistic G.
1896,56,Silver,77,Artistic G.
1896,59,Bronze,79,Artistic G.
1896,60,Gold,79,Artistic G.
1896,56,Silver,79,Artistic G.
1896,13,Bronze,82,Artistic G.
1896,61,Gold,82,Artistic G.
1896,62,Silver,82,Artistic G.
1896,63,Gold,85,Artistic G.
1896,57,Gold,85,Artistic G.
1896,64,Gold,85,Artistic G.
1896,65,Gold,85,Artistic G.
1896,13,Gold,85,Artistic G.
1896,66,Gold,85,Artistic G.
1896,67,Gold,85,Artistic G.
1896,68,Gold,85,Artistic G.
1896,69,Gold,85,Artistic G.
1896,70,Gold,85,Artistic G.
1896,56,Gold,85,Artistic G.
1896,71,Bronze,96,Artistic G.
1896,72,Bronze,96,Artistic G.
1896,73,Bronze,96,Artistic G.
1896,60,Bronze,96,Artistic G.
1896,63,Gold,96,Artistic G.
1896,57,Gold,96,Artistic G.
1896,64,Gold,96,Artistic G.
1896,65,Gold,96,Artistic G.
1896,13,Gold,96,Artistic G.
1896,66,Gold,96,Artistic G.
1896,67,Gold,96,Artistic G.
1896,68,Gold,96,Artistic G.
1896,69,Gold,96,Artistic G.
1896,70,Gold,96,Artistic G.
1896,56,Gold,96,Artistic G.
1896,61,Silver,96,Artistic G.
1896,74,Silver,96,Artistic G.
1896,59,Silver,96,Artistic G.
1896,62,Silver,96,Artistic G.
1896,56,Bronze,115,Artistic G.
1896,70,Gold,115,Artistic G.
1896,58,Silver,115,Artistic G.
1896,75,Bronze,118,Shooting
1896,76,Gold,118,Shooting
1896,77,Silver,118,Shooting
1896,53,Bronze,121,Shooting
1896,78,Gold,121,Shooting
1896,79,Silver,121,Shooting
1896,78,Bronze,124,Shooting
1896,77,Gold,124,Shooting
1896,53,Silver,124,Shooting
1896,80,Bronze,127,Shooting
1896,81,Gold,127,Shooting
1896,82,Silver,127,Shooting
1896,83,Bronze,130,Shooting
1896,79,Gold,130,Shooting
1896,78,Silver,130,Shooting
1896,17,Bronze,133,Tennis
1896,84,Bronze,133,Tennis
1896,85,Gold,133,Tennis
1896,86,Gold,133,Tennis
1896,87,Silver,133,Tennis
1896,88,Silver,133,Tennis
1896,89,Bronze,139,Tennis
1896,90,Bronze,139,Tennis
1896,85,Gold,139,Tennis
1896,87,Silver,139,Tennis
1896,91,Bronze,143,Weightlifting
1896,92,Gold,143,Weightlifting
1896,83,Silver,143,Weightlifting
1896,23,Bronze,146,Weightlifting
1896,83,Gold,146,Weightlifting
1896,92,Silver,146,Weightlifting
1896,93,Bronze,149,Wrestling Gre-R
1896,70,Gold,149,Wrestling Gre-R
1896,94,Silver,149,Wrestling Gre-R
1900,95,Bronze,152,Swimming
1900,96,Gold,152,Swimming
1900,97,Silver,152,Swimming
1900,98,Bronze,155,Swimming
1900,99,Gold,155,Swimming
1900,100,Silver,155,Swimming
1900,100,Bronze,158,Swimming
1900,101,Gold,158,Swimming
1900,95,Silver,158,Swimming
1900,102,Bronze,161,Swimming
1900,101,Gold,161,Swimming
1900,97,Silver,161,Swimming
1900,103,Bronze,164,Swimming
1900,104,Bronze,164,Swimming
1900,105,Bronze,164,Swimming
1900,106,Bronze,164,Swimming
1900,107,Bronze,164,Swimming
1900,108,Gold,164,Swimming
1900,109,Gold,164,Swimming
1900,99,Gold,164,Swimming
1900,110,Gold,164,Swimming
1900,111,Gold,164,Swimming
1900,112,Silver,164,Swimming
1900,113,Silver,164,Swimming
1900,114,Silver,164,Swimming
1900,115,Silver,164,Swimming
1900,116,Silver,164,Swimming
1900,105,Bronze,179,Swimming
1900,96,Gold,179,Swimming
1900,95,Silver,179,Swimming
1900,117,Bronze,182,Swimming
1900,118,Gold,182,Swimming
1900,119,Silver,182,Swimming
1900,120,Bronze,185,Water polo
1900,121,Bronze,185,Water polo
1900,122,Bronze,185,Water polo
1900,123,Bronze,185,Water polo
1900,124,Bronze,185,Water polo
1900,125,Bronze,185,Water polo
1900,126,Bronze,185,Water polo
1900,127,Bronze,185,Water polo
1900,105,Bronze,185,Water polo
1900,106,Bronze,185,Water polo
1900,128,Bronze,185,Water polo
1900,129,Bronze,185,Water polo
1900,130,Bronze,185,Water polo
1900,131,Bronze,185,Water polo
1900,132,Gold,185,Water polo
1900,133,Gold,185,Water polo
1900,102,Gold,185,Water polo
1900,134,Gold,185,Water polo
1900,135,Gold,185,Water polo
1900,136,Gold,185,Water polo
1900,137,Gold,185,Water polo
1900,138,Silver,185,Water polo
1900,139,Silver,185,Water polo
1900,140,Silver,185,Water polo
1900,141,Silver,185,Water polo
1900,142,Silver,185,Water polo
1900,143,Silver,185,Water polo
1900,144,Silver,185,Water polo
1900,145,Bronze,213,Archery
1900,146,Gold,213,Archery
1900,147,Silver,213,Archery
1900,148,Bronze,216,Archery
1900,149,Gold,216,Archery
1900,150,Silver,216,Archery
1900,145,Bronze,219,Archery
1900,146,Gold,219,Archery
1900,147,Silver,219,Archery
1900,151,Bronze,222,Archery
1900,152,Gold,222,Archery
1900,146,Silver,222,Archery
1900,153,Gold,225,Archery
1900,154,Silver,225,Archery
1900,155,Silver,225,Archery
1900,156,Bronze,228,Archery
1900,157,Gold,228,Archery
1900,155,Silver,228,Archery
1900,158,Bronze,12,Athletics
1900,159,Gold,12,Athletics
1900,160,Silver,12,Athletics
1900,161,Bronze,16,Athletics
1900,162,Gold,16,Athletics
1900,163,Silver,16,Athletics
1900,164,Bronze,18,Athletics
1900,165,Gold,18,Athletics
1900,166,Silver,18,Athletics
1900,158,Bronze,240,Athletics
1900,160,Gold,240,Athletics
1900,167,Silver,240,Athletics
1900,160,Bronze,243,Athletics
1900,162,Gold,243,Athletics
1900,167,Silver,243,Athletics
1900,168,Bronze,246,Athletics
1900,169,Gold,246,Athletics
1900,170,Silver,246,Athletics
1900,170,Bronze,249,Athletics
1900,171,Gold,249,Athletics
1900,165,Silver,249,Athletics
1900,172,Bronze,21,Athletics
1900,173,Gold,21,Athletics
1900,174,Silver,21,Athletics
1900,169,Bronze,255,Athletics
1900,160,Gold,255,Athletics
1900,175,Silver,255,Athletics
1900,165,Gold,258,Athletics
1900,171,Gold,258,Athletics
1900,170,Gold,258,Athletics
1900,158,Gold,258,Athletics
1900,176,Gold,258,Athletics
1900,177,Silver,258,Athletics
1900,178,Silver,258,Athletics
1900,168,Silver,258,Athletics
1900,166,Silver,258,Athletics
1900,179,Silver,258,Athletics
1900,158,Bronze,268,Athletics
1900,162,Gold,268,Athletics
1900,160,Silver,268,Athletics
1900,180,Bronze,24,Athletics
1900,176,Gold,24,Athletics
1900,181,Silver,24,Athletics
1900,182,Bronze,27,Athletics
1900,183,Gold,27,Athletics
1900,184,Silver,27,Athletics
1900,185,Bronze,277,Athletics
1900,186,Gold,277,Athletics
1900,187,Silver,277,Athletics
1900,188,Bronze,30,Athletics
1900,189,Gold,30,Athletics
1900,190,Silver,30,Athletics
1900,191,Bronze,283,Athletics
1900,192,Gold,283,Athletics
1900,189,Silver,283,Athletics
1900,190,Bronze,33,Athletics
1900,162,Gold,33,Athletics
1900,193,Silver,33,Athletics
1900,194,Bronze,289,Athletics
1900,192,Gold,289,Athletics
1900,189,Silver,289,Athletics
1900,195,Bronze,36,Athletics
1900,196,Gold,36,Athletics
1900,197,Silver,36,Athletics
1900,198,Bronze,39,Athletics
1900,189,Gold,39,Athletics
1900,199,Silver,39,Athletics
1900,24,Bronze,43,Athletics
1900,182,Gold,43,Athletics
1900,185,Silver,43,Athletics
1900,191,Bronze,46,Athletics
1900,193,Gold,46,Athletics
1900,27,Silver,46,Athletics
1900,24,Bronze,304,Athletics
1900,192,Gold,304,Athletics
1900,189,Silver,304,Athletics
1900,200,Gold,307,Basque Pelota
1900,201,Gold,307,Basque Pelota
1900,202,Silver,307,Basque Pelota
1900,203,Silver,307,Basque Pelota
1900,204,Gold,311,Cricket
1900,205,Gold,311,Cricket
1900,206,Gold,311,Cricket
1900,207,Gold,311,Cricket
1900,208,Gold,311,Cricket
1900,209,Gold,311,Cricket
1900,210,Gold,311,Cricket
1900,211,Gold,311,Cricket
1900,212,Gold,311,Cricket
1900,213,Gold,311,Cricket
1900,214,Gold,311,Cricket
1900,215,Gold,311,Cricket
1900,216,Silver,311,Cricket
1900,217,Silver,311,Cricket
1900,218,Silver,311,Cricket
1900,219,Silver,311,Cricket
1900,220,Silver,311,Cricket
1900,221,Silver,311,Cricket
1900,222,Silver,311,Cricket
1900,223,Silver,311,Cricket
1900,224,Silver,311,Cricket
1900,225,Silver,311,Cricket
1900,226,Silver,311,Cricket
1900,227,Silver,311,Cricket
1900,228,Gold,335,Croquet
1900,229,Gold,335,Croquet
1900,230,Bronze,337,Croquet
1900,228,Gold,337,Croquet
1900,229,Silver,337,Croquet
1900,231,Bronze,340,Croquet
1900,230,Gold,340,Croquet
1900,232,Silver,340,Croquet
1900,233,Bronze,343,Cycling Track
1900,234,Gold,343,Cycling Track
1900,235,Silver,343,Cycling Track
