code,year,Rank,Num_OF_Gold,Num_OF_Silver,Num_OF_Bronze
AFG,2008,86,0,0,1
AHO,1988,52,0,1,0
ALG,1984,1,0,0,2
ALG,1992,17,1,0,1
ALG,1996,1,2,0,1
ALG,2000,14,1,1,3
ALG,2008,71,0,1,1
ANZ,1908,18,15,2,2
ANZ,1912,9,5,2,3
ARG,1924,14,6,3,2
ARG,1928,27,3,24,5
ARG,1932,5,3,1,0
ARG,1936,1,5,2,4
ARG,1948,22,3,8,1
ARG,1952,2,2,2,2
ARG,1956,33,0,1,1
ARG,1960,23,0,3,1
ARG,1964,41,0,1,0
ARG,1968,23,0,0,2
ARG,1972,48,0,1,0
ARG,1988,20,0,1,12
ARG,1992,4,0,0,2
ARG,1996,45,0,19,1
ARG,2000,45,0,17,3
ARG,2004,62,26,0,21
ARG,2008,27,20,0,31
ARM,1996,51,1,1,0
ARM,2000,44,0,0,1
ARM,2008,73,0,0,6
AUS,1896,11,2,0,0
AUS,1900,3,2,0,3
AUS,1920,6,0,5,1
AUS,1924,11,3,5,2
AUS,1928,18,1,2,1
AUS,1932,22,3,1,1
AUS,1936,31,0,0,1
AUS,1948,14,2,9,5
AUS,1952,19,7,2,11
AUS,1956,19,23,12,26
AUS,1960,2,10,17,9
AUS,1964,20,8,5,29
AUS,1968,8,5,34,10
AUS,1972,5,11,7,2
AUS,1976,40,0,16,8
AUS,1980,22,5,2,5
AUS,1984,6,7,14,29
AUS,1988,14,18,6,10
AUS,1992,7,14,27,16
AUS,1996,38,32,16,84
AUS,2000,43,60,69,54
AUS,2004,54,49,78,30
AUS,2008,64,31,42,76
AUT,1896,3,2,1,2
AUT,1900,17,0,3,3
AUT,1904,10,0,0,1
AUT,1908,4,0,0,1
AUT,1912,4,0,9,5
AUT,1924,1,0,3,1
AUT,1928,15,2,0,2
AUT,1932,12,1,1,3
AUT,1936,7,5,41,4
AUT,1948,5,1,0,3
AUT,1952,25,0,1,2
AUT,1956,24,0,0,4
AUT,1960,20,1,2,0
AUT,1968,2,0,2,3
AUT,1972,6,0,1,2
AUT,1976,2,0,0,1
AUT,1980,34,1,3,1
AUT,1984,7,1,1,1
AUT,1988,28,1,0,0
AUT,1992,60,0,6,0
AUT,1996,33,0,1,2
AUT,2000,19,3,1,0
AUT,2004,56,3,4,1
