code,2020_G,2020_S,2020_B,2020_R,2020_R2
USA,41,40,43,1,1
GBR,24,24,16,2,3
CHN,24,22,27,3,4
JPN,11,11,22,4,10
FRA,9,12,14,5,11
AUS,7,9,10,6,14
ITA,7,9,8,7,13
ESP,7,7,6,8,19
HUN,7,7,4,9,16
BRA,6,7,7,10,19
KEN,6,6,1,11,21
JAM,5,5,2,12,21
NZL,4,6,4,13,23
CAN,4,4,14,14,27
COL,3,3,3,15,30
SWE,2,4,3,16,35
POL,2,3,5,17,38
UKR,2,3,4,18,34
BEL,2,3,2,19,44
SRB,2,3,2,19,39
THA,2,3,2,21,43
CZE,2,2,6,22,45
ETH,2,2,4,23,47
GEO,2,2,4,23,43
AZE,1,3,8,25,43
TUR,1,2,4,26,47
ROU,1,2,3,27,50
ARM,1,2,0,28,50
LTU,1,1,3,29,66
TUN,1,1,3,29,76
DOM,1,1,1,31,80
EST,1,1,1,31,82
IND,1,1,1,31,71
AFG,1,1,0,34,93
BLR,0,3,4,35,44
NOR,0,1,4,36,75
ISR,0,1,2,37,84
AUT,0,1,1,38,85
FIN,0,1,1,38,81
MAR,0,1,1,38,84
MDA,0,1,1,38,83
IRL,0,1,0,42,65
