,aid,noc
0,1,HUN
1,2,AUT
2,3,GRE
3,4,GRE
4,5,GRE
5,6,GRE
6,1,HUN
7,7,GRE
8,6,GRE
9,8,AUT
10,9,GRE
11,10,USA
12,11,HUN
13,12,USA
14,13,GER
15,14,USA
16,15,GBR
17,16,FRA
18,17,AUS
19,18,USA
20,19,GBR
21,12,USA
22,20,USA
23,21,GRE
24,17,AUS
25,22,HUN
26,23,GRE
27,24,USA
28,25,GRE
29,26,USA
30,27,USA
31,24,USA
32,27,USA
33,26,USA
34,24,USA
35,28,HUN
36,29,GRE
37,30,GRE
38,31,GRE
39,32,GRE
40,33,USA
41,34,USA
42,35,GRE
43,24,USA
44,36,GRE
45,37,GRE
46,27,USA
47,38,FRA
48,39,GBR
49,40,GRE
50,41,GER
51,42,FRA
52,43,GRE
53,44,AUT
54,45,FRA
55,42,FRA
56,44,AUT
57,46,GBR
58,44,AUT
59,45,FRA
60,47,GRE
61,42,FRA
62,45,FRA
63,47,GRE
64,48,GRE
65,49,FRA
66,50,FRA
67,51,GRE
68,52,FRA
69,53,DEN
70,54,GRE
71,55,GRE
72,56,GER
73,57,GER
74,57,GER
75,58,SUI
76,58,SUI
77,56,GER
78,59,GRE
79,60,GRE
80,56,GER
81,13,GER
82,61,GRE
83,62,GRE
84,63,GER
85,57,GER
86,64,GER
87,65,GER
88,13,GER
89,66,GER
90,67,GER
91,68,GER
92,69,GER
93,70,GER
94,56,GER
95,71,GRE
96,72,GRE
97,73,GRE
98,60,GRE
99,63,GER
100,57,GER
101,64,GER
102,65,GER
103,13,GER
104,66,GER
105,67,GER
106,68,GER
107,69,GER
108,70,GER
109,56,GER
110,61,GRE
111,74,GRE
112,59,GRE
113,62,GRE
114,56,GER
115,70,GER
116,58,SUI
117,75,GRE
118,76,USA
119,77,USA
120,53,DEN
121,78,GRE
122,79,GRE
123,78,GRE
124,77,USA
125,53,DEN
126,80,GRE
127,81,GRE
128,82,GRE
129,83,DEN
130,79,GRE
131,78,GRE
132,17,ZZX
133,84,ZZX
134,85,ZZX
135,86,ZZX
136,87,ZZX
137,88,ZZX
138,89,GRE
139,90,HUN
140,85,GBR
141,87,GRE
142,91,GRE
143,92,GBR
144,83,DEN
145,23,GRE
146,83,DEN
147,92,GBR
148,93,GRE
149,70,GER
150,94,GRE
151,95,HUN
152,96,GBR
153,97,AUT
154,98,NED
155,99,GER
156,100,AUT
157,100,AUT
158,101,AUS
159,95,HUN
160,102,GBR
161,101,AUS
162,97,AUT
163,103,FRA
164,104,FRA
165,105,FRA
166,106,FRA
167,107,FRA
168,108,GER
169,109,GER
170,99,GER
171,110,GER
172,111,GER
173,112,FRA
174,113,FRA
175,114,FRA
176,115,FRA
177,116,FRA
178,105,FRA
179,96,GBR
180,95,HUN
181,117,DEN
182,118,FRA
183,119,FRA
184,120,FRA
185,121,FRA
186,122,FRA
187,123,FRA
188,124,FRA
189,125,FRA
190,126,FRA
191,127,FRA
192,105,FRA
193,106,FRA
194,128,FRA
195,129,FRA
196,130,FRA
197,131,FRA
198,132,GBR
199,133,GBR
200,102,GBR
201,134,GBR
202,135,GBR
203,136,GBR
204,137,GBR
205,138,BEL
206,139,BEL
207,140,BEL
208,141,BEL
209,142,BEL
210,143,BEL
211,144,BEL
212,145,FRA
213,146,BEL
214,147,FRA
215,148,FRA
216,149,FRA
217,150,FRA
218,145,FRA
219,146,BEL
220,147,FRA
221,151,FRA
222,152,FRA
223,146,BEL
224,153,BEL
225,154,BEL
226,155,FRA
227,156,BEL
228,157,FRA
229,155,FRA
230,158,AUS
231,159,USA
232,160,USA
233,161,USA
234,162,USA
235,163,USA
236,164,USA
237,165,GBR
238,166,FRA
239,158,AUS
240,160,USA
241,167,IND
242,160,USA
243,162,USA
244,167,IND
245,168,FRA
246,169,CAN
247,170,GBR
248,170,GBR
249,171,GBR
250,165,GBR
251,172,DEN
252,173,USA
253,174,USA
254,169,CAN
255,160,USA
256,175,FRA
257,165,ZZX
258,171,ZZX
259,170,ZZX
260,158,ZZX
261,176,ZZX
262,177,FRA
263,178,FRA
264,168,FRA
265,166,FRA
266,179,FRA
267,158,AUS
268,162,USA
269,160,USA
270,180,USA
271,176,GBR
272,181,USA
273,182,USA
274,183,HUN
275,184,BOH
276,185,USA
277,186,USA
278,187,USA
279,188,HUN
280,189,USA
281,190,GBR
282,191,USA
283,192,USA
284,189,USA
285,190,GBR
286,162,USA
287,193,USA
288,194,FRA
289,192,USA
290,189,USA
291,195,SWE
292,196,FRA
293,197,FRA
294,198,NOR
295,189,USA
296,199,USA
297,24,USA
298,182,USA
299,185,USA
300,191,USA
301,193,USA
302,27,USA
303,24,USA
304,192,USA
305,189,USA
306,200,ESP
307,201,ESP
308,202,FRA
309,203,FRA
310,204,GBR
311,205,GBR
312,206,GBR
313,207,GBR
314,208,GBR
315,209,GBR
316,210,GBR
317,211,GBR
318,212,GBR
319,213,GBR
320,214,GBR
321,215,GBR
322,216,FRA
323,217,FRA
324,218,FRA
325,219,FRA
326,220,FRA
327,221,FRA
328,222,FRA
329,223,FRA
330,224,FRA
331,225,FRA
332,226,FRA
333,227,FRA
334,228,FRA
335,229,FRA
336,230,FRA
337,228,FRA
338,229,FRA
339,231,FRA
340,230,FRA
341,232,FRA
342,233,FRA
343,234,FRA
344,235,FRA
345,236,USA
346,237,FRA
347,238,FRA
348,239,BEL
349,240,FRA
350,241,ITA
351,242,FRA
352,243,BEL
353,239,BEL
354,244,FRA
355,245,BEL
356,241,ITA
357,246,FRA
358,247,CUB
359,248,FRA
360,246,FRA
361,249,FRA
362,247,CUB
363,250,FRA
364,249,FRA
365,251,FRA
366,252,FRA
367,253,FRA
368,254,FRA
369,255,FRA
370,256,FRA
371,257,FRA
372,258,AUT
373,259,FRA
374,260,FRA
375,261,AUT
376,262,ITA
377,263,ITA
378,264,BEL
379,265,BEL
380,266,BEL
381,267,BEL
382,268,BEL
383,269,BEL
384,270,BEL
385,271,BEL
386,272,BEL
387,273,BEL
388,274,BEL
389,275,GBR
390,276,GBR
391,277,GBR
392,278,GBR
393,279,GBR
394,280,GBR
395,281,GBR
396,282,GBR
397,283,GBR
398,284,GBR
399,285,GBR
400,286,FRA
401,287,FRA
402,288,FRA
403,289,FRA
404,290,FRA
405,291,FRA
406,292,FRA
407,293,FRA
408,294,FRA
409,295,FRA
410,296,FRA
411,297,FRA
412,298,FRA
413,299,GBR
414,300,USA
415,301,GBR
416,302,USA
417,303,USA
418,304,USA
419,305,FRA
420,306,FRA
421,307,FRA
422,308,ZZX
423,309,ZZX
424,310,ZZX
425,311,ZZX
426,312,ZZX
427,313,ZZX
428,314,ZZX
429,315,ZZX
430,316,ZZX
431,317,ZZX
432,318,ZZX
433,319,ZZX
434,320,NED
435,321,NED
436,322,NED
437,323,NED
438,324,NED
439,325,NED
440,326,NED
441,327,NED
442,328,NED
443,329,USA
444,330,USA
445,331,USA
446,332,USA
447,333,USA
448,334,USA
449,335,USA
450,336,USA
451,337,USA
452,338,BEL
453,339,BEL
454,340,BEL
455,341,BEL
456,342,BEL
457,343,BEL
458,344,BEL
459,345,BEL
460,346,BEL
461,347,GER
462,348,GER
463,349,GER
464,350,GER
465,351,GER
466,352,GER
467,353,GER
468,354,GER
469,355,GER
470,356,GER
471,357,FRA
472,358,FRA
473,359,FRA
474,360,FRA
475,361,GER
476,362,GER
477,363,GER
478,364,FRA
479,365,GER
480,366,GER
481,321,NED
482,367,NED
483,368,NED
484,369,NED
485,370,FRA
486,371,FRA
487,372,FRA
488,373,NED
489,374,FRA
490,375,FRA
491,376,FRA
492,377,FRA
493,320,ZZX
494,321,ZZX
495,322,ZZX
496,378,FRA
497,379,FRA
498,380,FRA
499,381,GBR
500,382,FRA
501,383,FRA
502,384,FRA
503,385,FRA
504,386,FRA
505,387,FRA
506,388,FRA
507,389,FRA
508,390,FRA
509,391,FRA
510,392,FRA
511,393,FRA
512,394,FRA
513,395,FRA
514,396,FRA
515,397,FRA
516,398,FRA
517,399,FRA
518,400,FRA
519,401,GER
520,402,GBR
521,403,GER
522,404,GBR
523,405,GBR
524,406,GBR
525,407,GBR
526,408,GER
527,409,GER
528,410,GBR
529,411,GER
530,412,GER
531,413,GER
532,414,GBR
533,415,GBR
534,416,GER
535,417,GER
536,418,GER
537,419,GBR
538,420,GER
539,421,GER
540,422,GER
541,423,GBR
542,424,GER
543,425,GBR
544,426,GBR
545,427,GER
546,428,GBR
547,429,GBR
548,430,GBR
549,431,FRA
550,432,FRA
551,433,GBR
552,434,GBR
553,435,GBR
554,436,FRA
555,437,FRA
556,438,FRA
557,439,FRA
558,440,FRA
559,441,GBR
560,442,FRA
561,443,FRA
562,444,FRA
563,445,USA
564,446,GBR
565,447,FRA
566,431,FRA
567,432,FRA
568,433,GBR
569,434,GBR
570,435,GBR
571,448,GER
572,449,GER
573,450,GER
574,451,GER
575,452,FRA
576,453,FRA
577,454,FRA
578,455,NED
579,456,NED
580,457,NED
581,458,NED
582,459,NED
583,460,SUI
584,461,SUI
585,462,SUI
586,463,SUI
587,464,SUI
588,465,FRA
589,466,FRA
590,454,FRA
591,467,FRA
592,468,FRA
593,464,SUI
594,463,SUI
595,467,FRA
596,469,NOR
597,470,BEL
598,471,SUI
599,472,DEN
600,464,SUI
601,471,SUI
602,472,DEN
603,469,NOR
604,467,FRA
605,472,DEN
606,473,BEL
607,474,DEN
608,469,NOR
609,475,FRA
610,466,FRA
611,454,FRA
612,467,FRA
613,476,FRA
614,477,SUI
615,478,SUI
616,471,SUI
617,462,SUI
618,464,SUI
619,479,NOR
620,480,NOR
621,469,NOR
622,481,NOR
623,482,NOR
624,483,FRA
625,484,FRA
626,485,FRA
627,486,FRA
628,487,GBR
629,488,GBR
630,489,FRA
631,490,GBR
632,491,GBR
633,492,ZZX
634,493,ZZX
635,490,ZZX
636,494,ZZX
637,491,GBR
638,487,ZZX
639,495,ZZX
640,496,ZZX
641,497,GBR
642,498,ZZX
643,491,GBR
644,488,GBR
645,490,GBR
646,487,GBR
647,495,USA
648,496,BOH
649,497,GBR
650,498,FRA
651,499,ZZX
652,500,ZZX
653,501,ZZX
654,502,ZZX
655,503,ZZX
656,504,ZZX
657,505,FRA
658,387,FRA
659,390,FRA
660,391,FRA
661,506,FRA
662,400,FRA
663,507,GER
664,508,USA
665,509,USA
666,510,GER
667,511,USA
668,512,USA
669,513,USA
670,514,GER
671,515,GER
672,510,GER
673,516,USA
674,95,HUN
675,517,USA
676,518,USA
677,519,GER
678,520,HUN
679,519,GER
680,517,USA
681,518,USA
682,521,USA
683,514,GER
684,515,GER
685,97,AUT
686,517,USA
687,518,USA
688,522,USA
689,523,USA
690,524,USA
691,525,USA
692,517,USA
693,511,USA
694,526,USA
695,527,USA
696,528,USA
697,529,USA
698,530,USA
699,531,USA
700,517,USA
701,95,HUN
702,516,USA
703,520,HUN
704,519,GER
705,518,USA
706,532,USA
707,533,USA
708,534,USA
709,535,USA
710,536,USA
711,537,USA
712,535,USA
713,536,USA
714,537,USA
715,532,USA
716,533,USA
717,534,USA
718,533,USA
719,538,USA
720,539,USA
721,540,USA
722,541,USA
723,542,USA
724,532,USA
725,534,USA
726,543,USA
727,544,USA
728,545,USA
729,546,USA
730,536,USA
731,535,USA
732,547,USA
733,548,USA
734,537,USA
735,549,USA
736,550,USA
737,551,USA
738,552,USA
739,553,USA
740,554,USA
741,555,USA
742,556,USA
743,557,USA
744,558,USA
745,550,USA
746,551,USA
747,552,USA
748,559,USA
749,560,USA
750,561,USA
751,562,USA
752,557,USA
753,563,GBR
754,564,USA
755,560,USA
756,565,USA
757,559,USA
758,560,USA
759,565,USA
760,566,USA
761,562,USA
762,567,USA
763,568,USA
764,569,USA
765,570,ZZX
766,571,ZZX
767,556,ZZX
768,557,ZZX
769,558,ZZX
770,572,USA
771,573,CAN
772,186,USA
773,574,USA
774,551,USA
775,550,USA
776,575,USA
777,557,USA
778,569,USA
779,187,USA
780,576,GBR
781,577,USA
782,578,GRE
783,579,USA
784,580,USA
785,580,USA
786,186,USA
787,581,USA
788,582,GER
789,583,USA
790,584,USA
791,585,USA
792,192,USA
793,586,USA
794,587,USA
795,193,USA
796,588,USA
797,589,USA
798,192,USA
799,590,USA
800,562,USA
801,591,USA
802,570,USA
803,592,USA
804,593,USA
805,594,USA
806,595,USA
807,580,USA
808,596,USA
809,597,USA
810,598,USA
811,599,USA
812,587,USA
813,193,USA
814,600,USA
815,586,USA
816,192,USA
817,590,USA
818,601,USA
819,602,USA
820,603,USA
821,604,USA
822,605,USA
823,606,USA
824,601,USA
825,607,USA
826,606,USA
827,608,USA
828,609,USA
829,610,USA
830,611,USA
831,611,USA
832,612,USA
833,613,USA
834,610,USA
835,605,USA
836,614,USA
837,615,USA
838,616,USA
839,617,USA
840,617,USA
841,616,USA
842,615,USA
843,615,USA
844,616,USA
845,617,USA
846,615,USA
847,616,USA
848,617,USA
849,616,USA
850,617,USA
851,618,USA
852,619,USA
853,617,USA
854,620,USA
855,620,USA
856,621,USA
857,619,USA
858,622,CUB
859,247,CUB
860,623,CUB
861,623,CUB
862,247,CUB
863,622,CUB
864,624,ZZX
865,247,ZZX
866,622,ZZX
867,625,USA
868,623,USA
869,626,USA
870,622,CUB
871,624,CUB
872,627,USA
873,627,USA
874,622,CUB
875,628,USA
876,629,USA
877,630,USA
878,631,USA
879,632,USA
880,633,USA
881,634,USA
882,635,USA
883,636,USA
884,637,USA
885,638,USA
886,639,USA
887,640,USA
888,641,USA
889,629,USA
890,642,USA
891,643,USA
892,630,USA
893,631,USA
894,632,USA
895,644,USA
896,633,USA
897,634,USA
898,645,CAN
899,646,CAN
900,635,USA
901,647,CAN
902,648,CAN
903,636,USA
904,637,USA
905,649,USA
906,650,USA
907,651,USA
908,638,USA
909,652,CAN
910,653,CAN
911,654,USA
912,655,CAN
913,612,USA
914,656,CAN
915,657,USA
916,639,USA
917,658,USA
918,659,CAN
919,640,USA
920,660,CAN
921,661,CAN
922,641,USA
923,642,USA
924,643,USA
925,644,USA
926,649,USA
927,650,USA
928,651,USA
929,654,USA
930,612,USA
931,657,USA
932,658,USA
933,662,USA
934,663,USA
935,664,CAN
936,665,USA
937,666,USA
938,667,USA
939,665,USA
940,668,USA
941,669,USA
942,670,USA
943,671,USA
944,672,USA
945,673,USA
946,674,USA
947,675,USA
948,676,USA
949,677,USA
950,662,USA
951,678,USA
952,663,USA
953,679,USA
954,680,USA
955,681,USA
956,682,USA
957,683,USA
958,684,USA
959,685,USA
960,686,GER
961,687,SUI
962,688,USA
963,597,USA
964,689,USA
965,690,USA
966,690,USA
967,689,USA
968,684,USA
969,687,SUI
970,688,USA
971,686,GER
972,691,USA
973,690,USA
974,689,USA
975,597,USA
976,689,USA
977,690,USA
978,685,USA
979,692,USA
980,597,USA
981,685,USA
982,690,USA
983,693,USA
984,691,USA
985,693,USA
986,694,USA
987,695,USA
988,696,USA
989,697,USA
990,599,USA
991,689,USA
992,698,USA
993,699,USA
994,688,USA
995,700,USA
996,701,USA
997,702,USA
998,703,USA
999,704,USA
1000,705,USA
1001,706,USA
1002,597,USA
1003,690,USA
1004,689,USA
1005,707,CAN
1006,708,CAN
1007,709,CAN
1008,710,CAN
1009,711,CAN
1010,712,CAN
1011,713,CAN
1012,714,CAN
1013,715,CAN
1014,716,CAN
1015,717,CAN
1016,718,CAN
1017,719,CAN
1018,720,USA
1019,721,USA
1020,722,USA
1021,723,USA
1022,669,USA
1023,724,USA
1024,725,USA
1025,726,USA
1026,727,USA
1027,728,USA
1028,729,USA
1029,730,USA
1030,731,USA
1031,732,USA
1032,733,USA
1033,734,USA
1034,735,USA
1035,736,USA
1036,737,USA
1037,738,USA
1038,739,USA
1039,740,USA
1040,741,USA
1041,742,USA
1042,739,USA
1043,740,USA
1044,743,USA
1045,744,USA
1046,329,USA
1047,745,USA
1048,746,USA
1049,747,USA
1050,332,USA
1051,748,USA
1052,749,USA
1053,750,USA
1054,751,USA
1055,752,CAN
1056,753,CAN
1057,754,CAN
1058,755,CAN
1059,756,CAN
1060,757,CAN
1061,758,CAN
1062,759,CAN
1063,760,CAN
1064,761,USA
1065,762,USA
1066,763,USA
1067,764,USA
1068,765,USA
1069,766,USA
1070,767,USA
1071,768,USA
1072,769,USA
1073,770,USA
1074,771,USA
1075,772,USA
1076,773,USA
1077,774,USA
1078,335,USA
1079,775,USA
1080,776,USA
1081,777,USA
1082,778,USA
1083,779,USA
1084,780,USA
1085,781,USA
1086,782,USA
1087,781,USA
1088,779,USA
1089,780,USA
1090,782,USA
1091,783,USA
1092,784,USA
1093,785,USA
1094,786,USA
1095,787,USA
1096,788,USA
1097,789,USA
1098,790,USA
1099,791,USA
1100,792,USA
1101,793,USA
1102,794,USA
1103,795,USA
1104,796,USA
1105,797,USA
1106,786,USA
1107,798,USA
1108,799,USA
1109,786,USA
1110,800,GRE
1111,798,USA
1112,801,USA
1113,802,USA
1114,803,USA
1115,804,USA
1116,805,USA
1117,786,USA
1118,806,USA
1119,807,USA
1120,808,USA
1121,809,USA
1122,810,USA
1123,811,USA
1124,812,USA
1125,813,USA
1126,814,USA
1127,815,USA
1128,816,USA
1129,817,USA
1130,818,USA
1131,819,USA
1132,820,USA
1133,821,SWE
1134,822,SWE
1135,823,SWE
1136,824,USA
1137,825,GER
1138,826,GER
1139,827,GER
1140,828,GBR
1141,829,GER
1142,830,DEN
1143,831,SWE
1144,517,USA
1145,95,HUN
1146,832,ANZ
1147,833,GBR
1148,834,GBR
1149,835,SWE
1150,836,GBR
1151,837,GBR
1152,838,AUT
1153,833,GBR
1154,832,ANZ
1155,517,USA
1156,511,USA
1157,839,USA
1158,840,USA
1159,133,GBR
1160,841,GBR
1161,842,GBR
1162,833,GBR
1163,95,HUN
1164,843,HUN
1165,844,HUN
1166,845,HUN
1167,846,GBR
1168,847,GBR
1169,848,GBR
1170,842,GBR
1171,849,GBR
1172,850,GBR
1173,137,GBR
1174,851,BEL
1175,852,BEL
1176,141,BEL
1177,142,BEL
1178,853,BEL
1179,143,BEL
1180,854,BEL
1181,855,FRA
1182,856,FRA
1183,857,FRA
1184,858,GBR
1185,859,GBR
1186,860,GBR
1187,540,USA
1188,861,GBR
1189,862,GBR
1190,863,CAN
1191,864,RSA
1192,865,USA
1193,866,GBR
1194,867,GBR
1195,868,GBR
1196,869,USA
1197,870,USA
1198,871,USA
1199,872,GBR
1200,873,USA
1201,874,GBR
1202,552,USA
1203,863,CAN
1204,875,USA
1205,876,USA
1206,877,GBR
1207,878,GBR
1208,879,ANZ
1209,867,GBR
1210,868,GBR
1211,880,FRA
1212,881,FRA
1213,882,FRA
1214,883,GBR
